db.file	Genome	DB	Region	FI.1	FI.2	FI.3	URL	dbScore
hg19.ensembl.cgi.Genedesert.No_anno.RData	hg19	ensembl	cgi	Genedesert	No_anno	NA	NA	2
hg19.ensembl.cgi.Otherintergenic.No_anno.RData	hg19	ensembl	cgi	Otherintergenic	No_anno	NA	NA	2
hg19.ensembl.cgi.Pericentromere.No_anno.RData	hg19	ensembl	cgi	Pericentromere	No_anno	NA	NA	2
hg19.ensembl.cgi.Promoter1k.lincRNA.RData	hg19	ensembl	cgi	Promoter1k	lincRNA	NA	NA	2
hg19.ensembl.cgi.Promoter1k.miRNA.RData	hg19	ensembl	cgi	Promoter1k	miRNA	NA	NA	2
hg19.ensembl.cgi.Promoter1k.misc.RData	hg19	ensembl	cgi	Promoter1k	misc	NA	NA	2
hg19.ensembl.cgi.Promoter1k.protein_coding.RData	hg19	ensembl	cgi	Promoter1k	protein_coding	NA	NA	1
hg19.ensembl.cgi.Promoter1k.pseudogene.RData	hg19	ensembl	cgi	Promoter1k	pseudogene	NA	NA	2
hg19.ensembl.cgi.Promoter3k.lincRNA.RData	hg19	ensembl	cgi	Promoter3k	lincRNA	NA	NA	2
hg19.ensembl.cgi.Promoter3k.miRNA.RData	hg19	ensembl	cgi	Promoter3k	miRNA	NA	NA	2
hg19.ensembl.cgi.Promoter3k.misc.RData	hg19	ensembl	cgi	Promoter3k	misc	NA	NA	2
hg19.ensembl.cgi.Promoter3k.protein_coding.RData	hg19	ensembl	cgi	Promoter3k	protein_coding	NA	NA	1
hg19.ensembl.cgi.Promoter3k.pseudogene.RData	hg19	ensembl	cgi	Promoter3k	pseudogene	NA	NA	2
hg19.ensembl.cgi.ProximalPromoter.lincRNA.RData	hg19	ensembl	cgi	ProximalPromoter	lincRNA	NA	NA	1
hg19.ensembl.cgi.ProximalPromoter.miRNA.RData	hg19	ensembl	cgi	ProximalPromoter	miRNA	NA	NA	1
hg19.ensembl.cgi.ProximalPromoter.misc.RData	hg19	ensembl	cgi	ProximalPromoter	misc	NA	NA	1
hg19.ensembl.cgi.ProximalPromoter.protein_coding.RData	hg19	ensembl	cgi	ProximalPromoter	protein_coding	NA	NA	0
hg19.ensembl.cgi.ProximalPromoter.pseudogene.RData	hg19	ensembl	cgi	ProximalPromoter	pseudogene	NA	NA	1
hg19.ensembl.cgi.Subtelomere.No_anno.RData	hg19	ensembl	cgi	Subtelomere	No_anno	NA	NA	2
hg19.ensembl.cgi.genebody.lincRNA.RData	hg19	ensembl	cgi	genebody	lincRNA	NA	NA	2
hg19.ensembl.cgi.genebody.misc.RData	hg19	ensembl	cgi	genebody	misc	NA	NA	2
hg19.ensembl.cgi.genebody.protein_coding.RData	hg19	ensembl	cgi	genebody	protein_coding	NA	NA	1
hg19.ensembl.cgi.genebody.pseudogene.RData	hg19	ensembl	cgi	genebody	pseudogene	NA	NA	2
hg19.ensembl.exon.altAcceptor.lincRNA.RData	hg19	ensembl	exon	altAcceptor	lincRNA	NA	NA	3
hg19.ensembl.exon.altAcceptor.misc.RData	hg19	ensembl	exon	altAcceptor	misc	NA	NA	3
hg19.ensembl.exon.altAcceptor.protein_coding.RData	hg19	ensembl	exon	altAcceptor	protein_coding	NA	NA	2
hg19.ensembl.exon.altAcceptor.pseudogene.RData	hg19	ensembl	exon	altAcceptor	pseudogene	NA	NA	3
hg19.ensembl.exon.altBoth.lincRNA.RData	hg19	ensembl	exon	altBoth	lincRNA	NA	NA	3
hg19.ensembl.exon.altBoth.misc.RData	hg19	ensembl	exon	altBoth	misc	NA	NA	3
hg19.ensembl.exon.altBoth.protein_coding.RData	hg19	ensembl	exon	altBoth	protein_coding	NA	NA	2
hg19.ensembl.exon.altBoth.pseudogene.RData	hg19	ensembl	exon	altBoth	pseudogene	NA	NA	3
hg19.ensembl.exon.altDonor.lincRNA.RData	hg19	ensembl	exon	altDonor	lincRNA	NA	NA	3
hg19.ensembl.exon.altDonor.misc.RData	hg19	ensembl	exon	altDonor	misc	NA	NA	3
hg19.ensembl.exon.altDonor.protein_coding.RData	hg19	ensembl	exon	altDonor	protein_coding	NA	NA	2
hg19.ensembl.exon.altDonor.pseudogene.RData	hg19	ensembl	exon	altDonor	pseudogene	NA	NA	3
hg19.ensembl.exon.canonical.lincRNA.RData	hg19	ensembl	exon	canonical	lincRNA	NA	NA	2
hg19.ensembl.exon.canonical.misc.RData	hg19	ensembl	exon	canonical	misc	NA	NA	2
hg19.ensembl.exon.canonical.protein_coding.RData	hg19	ensembl	exon	canonical	protein_coding	NA	NA	1
hg19.ensembl.exon.canonical.pseudogene.RData	hg19	ensembl	exon	canonical	pseudogene	NA	NA	2
hg19.ensembl.exon.polyA.lincRNA.RData	hg19	ensembl	exon	polyA	lincRNA	NA	NA	3
hg19.ensembl.exon.polyA.misc.RData	hg19	ensembl	exon	polyA	misc	NA	NA	3
hg19.ensembl.exon.polyA.protein_coding.RData	hg19	ensembl	exon	polyA	protein_coding	NA	NA	2
hg19.ensembl.exon.polyA.pseudogene.RData	hg19	ensembl	exon	polyA	pseudogene	NA	NA	3
hg19.ensembl.exon.promoter.lincRNA.RData	hg19	ensembl	exon	promoter	lincRNA	NA	NA	3
hg19.ensembl.exon.promoter.miRNA.RData	hg19	ensembl	exon	promoter	miRNA	NA	NA	3
hg19.ensembl.exon.promoter.misc.RData	hg19	ensembl	exon	promoter	misc	NA	NA	3
hg19.ensembl.exon.promoter.protein_coding.RData	hg19	ensembl	exon	promoter	protein_coding	NA	NA	2
hg19.ensembl.exon.promoter.pseudogene.RData	hg19	ensembl	exon	promoter	pseudogene	NA	NA	3
hg19.ensembl.exon.variant.lincRNA.RData	hg19	ensembl	exon	variant	lincRNA	NA	NA	3
hg19.ensembl.exon.variant.misc.RData	hg19	ensembl	exon	variant	misc	NA	NA	3
hg19.ensembl.exon.variant.protein_coding.RData	hg19	ensembl	exon	variant	protein_coding	NA	NA	2
hg19.ensembl.exon.variant.pseudogene.RData	hg19	ensembl	exon	variant	pseudogene	NA	NA	3
hg19.ensembl.genebody.lincRNA.RData	hg19	ensembl	genebody	lincRNA	NA	NA	NA	2
hg19.ensembl.genebody.miRNA.RData	hg19	ensembl	genebody	miRNA	NA	NA	NA	2
hg19.ensembl.genebody.misc.RData	hg19	ensembl	genebody	misc	NA	NA	NA	2
hg19.ensembl.genebody.protein_coding.RData	hg19	ensembl	genebody	protein_coding	NA	NA	NA	1
hg19.ensembl.genebody.pseudogene.RData	hg19	ensembl	genebody	pseudogene	NA	NA	NA	2
hg19.refseq.cgi.Genedesert.No_anno.RData	hg19	refseq	cgi	Genedesert	No_anno	NA	NA	2
hg19.refseq.cgi.Otherintergenic.No_anno.RData	hg19	refseq	cgi	Otherintergenic	No_anno	NA	NA	2
hg19.refseq.cgi.Pericentromere.No_anno.RData	hg19	refseq	cgi	Pericentromere	No_anno	NA	NA	2
hg19.refseq.cgi.Promoter1k.lincRNA.RData	hg19	refseq	cgi	Promoter1k	lincRNA	NA	NA	2
hg19.refseq.cgi.Promoter1k.miRNA.RData	hg19	refseq	cgi	Promoter1k	miRNA	NA	NA	2
hg19.refseq.cgi.Promoter1k.misc.RData	hg19	refseq	cgi	Promoter1k	misc	NA	NA	2
hg19.refseq.cgi.Promoter1k.protein_coding.RData	hg19	refseq	cgi	Promoter1k	protein_coding	NA	NA	1
hg19.refseq.cgi.Promoter3k.lincRNA.RData	hg19	refseq	cgi	Promoter3k	lincRNA	NA	NA	2
hg19.refseq.cgi.Promoter3k.miRNA.RData	hg19	refseq	cgi	Promoter3k	miRNA	NA	NA	2
hg19.refseq.cgi.Promoter3k.misc.RData	hg19	refseq	cgi	Promoter3k	misc	NA	NA	2
hg19.refseq.cgi.Promoter3k.protein_coding.RData	hg19	refseq	cgi	Promoter3k	protein_coding	NA	NA	1
hg19.refseq.cgi.ProximalPromoter.lincRNA.RData	hg19	refseq	cgi	ProximalPromoter	lincRNA	NA	NA	1
hg19.refseq.cgi.ProximalPromoter.miRNA.RData	hg19	refseq	cgi	ProximalPromoter	miRNA	NA	NA	1
hg19.refseq.cgi.ProximalPromoter.misc.RData	hg19	refseq	cgi	ProximalPromoter	misc	NA	NA	1
hg19.refseq.cgi.ProximalPromoter.protein_coding.RData	hg19	refseq	cgi	ProximalPromoter	protein_coding	NA	NA	0
hg19.refseq.cgi.Subtelomere.No_anno.RData	hg19	refseq	cgi	Subtelomere	No_anno	NA	NA	2
